run,method,depth,iterations,inner_time,outer_time
0,compute_iterations,1,300,10.000,13.8734012
0,compute_iterations,1,406,10.500,14.4423754
0,compute_iterations,1,330,11.000,14.7135753
0,compute_iterations,1,435,11.500,16.7595308
0,compute_iterations,1,401,12.000,17.1781791
0,compute_iterations,1,357,12.500,17.4421314
0,compute_iterations,1,427,13.000,17.3933025
0,compute_iterations,1,431,13.500,17.9721926
0,compute_iterations,1,430,14.000,19.2392374
0,compute_iterations,1,542,14.500,18.878510
0,compute_iterations,1,546,15.000,18.899535
0,compute_iterations,1,502,15.500,20.8445058
0,compute_iterations,1,577,16.000,20.8865595
0,compute_iterations,1,640,16.500,21.2191799
0,compute_iterations,1,598,17.000,21.7624915
0,compute_iterations,1,589,17.500,21.9634297
0,compute_iterations,1,520,18.000,20.8832243
0,compute_iterations,1,605,18.500,22.5579179
0,compute_iterations,1,631,19.000,22.9470371
0,compute_iterations,1,688,19.500,22.9055402
0,compute_iterations,1,711,20.000,25.0577452
0,compute_iterations,2,162,10.000,15.5060396
0,compute_iterations,2,176,10.500,14.0336077
0,compute_iterations,2,203,11.000,16.2380599
0,compute_iterations,2,180,11.500,16.5651331
0,compute_iterations,2,232,12.000,18.2179084
0,compute_iterations,2,198,12.500,18.1988947
0,compute_iterations,2,221,13.000,16.7680053
0,compute_iterations,2,265,13.500,17.408657
0,compute_iterations,2,280,14.000,17.7982683
0,compute_iterations,2,223,14.500,18.1932497
0,compute_iterations,2,254,15.000,19.1410554
0,compute_iterations,2,281,15.500,19.9065230
0,compute_iterations,2,252,16.000,20.0199642
0,compute_iterations,2,233,16.500,22.8680113
0,compute_iterations,2,269,17.000,22.8214538
0,compute_iterations,2,323,17.500,22.2769720
0,compute_iterations,2,313,18.000,21.1144719
0,compute_iterations,2,313,18.500,23.0766485
0,compute_iterations,2,295,19.000,22.6314001
0,compute_iterations,2,304,19.500,24.8842211
0,compute_iterations,2,323,20.000,26.3063978
0,compute_iterations,3,120,10.000,14.4105339
0,compute_iterations,3,115,10.500,14.6666422
0,compute_iterations,3,133,11.000,15.6129429
0,compute_iterations,3,143,11.500,15.2519095
0,compute_iterations,3,131,12.000,16.6359551
0,compute_iterations,3,132,12.500,16.3664706
0,compute_iterations,3,149,13.000,18.1438594
0,compute_iterations,3,141,13.500,20.6581842
0,compute_iterations,3,168,14.000,19.1426912
0,compute_iterations,3,150,14.500,17.4582082
0,compute_iterations,3,144,15.000,19.3301754
0,compute_iterations,3,193,15.500,20.5231588
0,compute_iterations,3,175,16.000,22.2400086
0,compute_iterations,3,180,16.500,20.6163571
0,compute_iterations,3,179,17.000,20.7166981
0,compute_iterations,3,183,17.500,22.9454141
0,compute_iterations,3,203,18.000,22.5144277
0,compute_iterations,3,215,18.500,22.1064153
0,compute_iterations,3,246,19.000,24.7183052
0,compute_iterations,3,228,19.500,25.0147228
0,compute_iterations,3,191,20.000,24.444841
0,compute_iterations,4,65,10.000,12.9479409
0,compute_iterations,4,90,10.500,15.4224917
0,compute_iterations,4,80,11.000,17.9573112
0,compute_iterations,4,96,11.500,15.464102
0,compute_iterations,4,91,12.000,15.8851382
0,compute_iterations,4,111,12.500,16.8812227
0,compute_iterations,4,100,13.000,17.2807021
0,compute_iterations,4,103,13.500,18.1852543
0,compute_iterations,4,128,14.000,17.2646690
0,compute_iterations,4,119,14.500,18.792961
0,compute_iterations,4,110,15.000,18.3303022
0,compute_iterations,4,131,15.500,18.6716054
0,compute_iterations,4,148,16.000,21.3019012
0,compute_iterations,4,123,16.500,20.0769510
0,compute_iterations,4,150,17.000,20.9779362
0,compute_iterations,4,161,17.500,22.5202046
0,compute_iterations,4,154,18.000,21.681436
0,compute_iterations,4,145,18.500,23.9670337
0,compute_iterations,4,156,19.000,23.0785849
0,compute_iterations,4,137,19.500,24.2389713
0,compute_iterations,4,166,20.000,24.2023837
1,compute_iterations,1,360,10.000,13.2110564
1,compute_iterations,1,278,10.500,16.9607575
1,compute_iterations,1,429,11.000,14.6486501
1,compute_iterations,1,334,11.500,16.6149249
1,compute_iterations,1,377,12.000,15.8958283
1,compute_iterations,1,403,12.500,16.6065459
1,compute_iterations,1,369,13.000,16.7332434
1,compute_iterations,1,457,13.500,18.1224926
1,compute_iterations,1,383,14.000,18.7896622
1,compute_iterations,1,453,14.500,19.3004638
1,compute_iterations,1,582,15.000,20.2749588
1,compute_iterations,1,523,15.500,19.516622
1,compute_iterations,1,453,16.000,21.9904544
1,compute_iterations,1,523,16.500,20.9383565
1,compute_iterations,1,523,17.000,21.4794996
1,compute_iterations,1,503,17.500,22.2862796
1,compute_iterations,1,513,18.000,22.9060332
1,compute_iterations,1,526,18.500,24.0046887
1,compute_iterations,1,591,19.000,23.6825597
1,compute_iterations,1,626,19.500,26.4578712
1,compute_iterations,1,665,20.000,23.8304964
1,compute_iterations,2,151,10.000,14.1954606
1,compute_iterations,2,205,10.500,13.9781483
1,compute_iterations,2,164,11.000,15.616996
1,compute_iterations,2,192,11.500,15.1426142
1,compute_iterations,2,243,12.000,15.6888492
1,compute_iterations,2,197,12.500,17.196745
1,compute_iterations,2,222,13.000,16.4979338
1,compute_iterations,2,197,13.500,17.7487609
1,compute_iterations,2,212,14.000,20.6035178
1,compute_iterations,2,152,14.500,20.5996736
1,compute_iterations,2,221,15.000,20.1899553
1,compute_iterations,2,256,15.500,19.0492388
1,compute_iterations,2,250,16.000,19.579643
1,compute_iterations,2,244,16.500,21.3193744
1,compute_iterations,2,298,17.000,20.6269272
1,compute_iterations,2,277,17.500,22.8893494
1,compute_iterations,2,309,18.000,22.023188
1,compute_iterations,2,280,18.500,22.5735781
1,compute_iterations,2,295,19.000,24.4737625
1,compute_iterations,2,325,19.500,24.3525258
1,compute_iterations,2,358,20.000,23.8963568
1,compute_iterations,3,120,10.000,13.3770835
1,compute_iterations,3,115,10.500,14.631983
1,compute_iterations,3,134,11.000,16.1584870
1,compute_iterations,3,119,11.500,17.2230439
1,compute_iterations,3,110,12.000,15.8943620
1,compute_iterations,3,144,12.500,17.7206242
1,compute_iterations,3,133,13.000,18.7480564
1,compute_iterations,3,152,13.500,18.7110452
1,compute_iterations,3,159,14.000,19.4434416
1,compute_iterations,3,154,14.500,19.7662661
1,compute_iterations,3,153,15.000,18.4220547
1,compute_iterations,3,174,15.500,21.0785657
