run,method,depth,iterations,inner_time,outer_time
0,compute_time,20,1000,49.860,53.914895
0,compute_time,20,500,24.316,29.080999
0,compute_time,20,100,4.791,8.636473
0,compute_time,15,1000,35.764,40.4113202
0,compute_time,15,500,17.302,21.176183
0,compute_time,15,100,2.793,7.491929
0,compute_time,10,1000,24.333,28.395867
0,compute_time,10,500,11.673,15.8497626
0,compute_time,10,100,1.888,6.624884
0,compute_time,5,500,5.603,13.1116742
0,compute_time,5,100,.961,4.160314
0,compute_time,0,500,0,6.242768
0,compute_time,0,100,0,4.013098
1,compute_time,20,1000,48.166,53.831070
1,compute_time,20,500,24.220,28.641756
1,compute_time,20,100,4.796,9.979558
1,compute_time,15,1000,36.237,43.2418812
1,compute_time,15,500,17.550,26.3399828
1,compute_time,15,100,2.738,8.2377602
1,compute_time,10,1000,24.356,28.3930058
1,compute_time,10,500,11.422,17.1144129
1,compute_time,10,100,1.790,6.104451
1,compute_time,5,1000,11.406,14.861035
1,compute_time,5,500,5.802,9.8643352
1,compute_time,5,100,.947,13.373694
1,compute_time,0,1000,0,27.240086
1,compute_time,0,500,0,6.375298
1,compute_time,0,100,0,7.3487780
2,compute_time,20,1000,47.908,52.3384968
2,compute_time,20,500,24.501,28.473472
2,compute_time,20,100,4.968,8.832380
2,compute_time,15,1000,35.540,39.534706
2,compute_time,15,500,17.348,22.1679701
2,compute_time,15,100,3.165,6.7038122
2,compute_time,10,1000,23.994,29.1578224
2,compute_time,10,500,11.587,16.8712388
2,compute_time,10,100,1.923,6.5506281
2,compute_time,5,1000,11.584,15.992578
2,compute_time,5,100,.956,6.7533357
2,compute_time,0,1000,0,4.178931
2,compute_time,0,500,0,3.1723608
2,compute_time,0,100,0,4.1795031
3,compute_time,20,1000,47.942,52.676132
3,compute_time,20,500,24.029,32.6469461
3,compute_time,20,100,4.861,8.675400
3,compute_time,15,1000,36.356,43.998030
3,compute_time,15,500,17.149,24.8906862
3,compute_time,15,100,2.740,12.919071
3,compute_time,10,1000,23.918,33.918510
3,compute_time,10,500,11.223,16.5033338
3,compute_time,10,100,1.903,9.1305071
3,compute_time,5,1000,11.417,16.8283712
3,compute_time,5,500,5.719,13.351567
3,compute_time,5,100,.966,5.705433
3,compute_time,0,1000,0,4.4927542
3,compute_time,0,500,0,3.1784661
3,compute_time,0,100,0,4.519915
4,compute_time,20,1000,47.721,51.6622219
4,compute_time,20,100,4.733,10.3369498
4,compute_time,15,1000,35.354,39.194367
4,compute_time,15,500,17.209,23.9923459
4,compute_time,15,100,2.944,8.9162942
4,compute_time,10,1000,23.987,28.143455
4,compute_time,10,500,11.873,39.6200011
4,compute_time,10,100,1.722,8.9152061
4,compute_time,5,1000,11.644,16.3807423
4,compute_time,5,500,5.774,13.1282548
4,compute_time,5,100,.964,7.3592949
4,compute_time,0,1000,0,11.0258218
4,compute_time,0,500,0,8.279657
4,compute_time,0,100,0,9.122232
5,compute_time,20,1000,47.712,51.4215568
5,compute_time,20,500,23.732,59.1937202
5,compute_time,20,100,4.884,8.650918
5,compute_time,15,1000,35.422,40.2553688
5,compute_time,15,500,17.240,24.5655002
5,compute_time,15,100,2.796,8.7762382
5,compute_time,10,1000,23.865,28.365208
5,compute_time,10,500,11.446,16.908641
5,compute_time,10,100,1.974,5.121841
5,compute_time,5,1000,11.560,15.9858498
5,compute_time,5,500,5.806,14.296626
5,compute_time,5,100,.916,7.3823969
5,compute_time,0,1000,0,15.176160
5,compute_time,0,500,0,10.8540289
5,compute_time,0,100,0,6.271935
0,compute_iterations,20,119,5.000,10.477474
0,compute_iterations,20,99,4.000,8.6105832
0,compute_iterations,20,79,3.000,9.786517
0,compute_iterations,20,60,2.000,6.9960019
0,compute_iterations,20,40,1.000,6.9119239
0,compute_iterations,15,158,5.000,8.613720
0,compute_iterations,15,106,4.000,8.104447
0,compute_iterations,15,106,3.000,8.772617
0,compute_iterations,15,79,2.000,10.4097417
0,compute_iterations,15,53,1.000,5.7968828
0,compute_iterations,10,237,5.000,10.2364492
0,compute_iterations,10,198,4.000,8.4603651
0,compute_iterations,10,158,3.000,10.1200088
0,compute_iterations,10,119,2.000,7.4555761
0,compute_iterations,10,79,1.000,10.5627668
0,compute_iterations,5,474,5.000,10.138027
0,compute_iterations,5,395,4.000,8.643719
0,compute_iterations,5,316,3.000,7.320571
0,compute_iterations,5,237,2.000,11.0744550
0,compute_iterations,5,158,1.000,6.5706461
0,compute_iterations,0,0,5.000,12.904277
0,compute_iterations,0,0,4.000,7.7129290
0,compute_iterations,0,0,3.000,23.938574
0,compute_iterations,0,0,2.000,7.828683
1,compute_iterations,20,119,5.000,12.3945941
1,compute_iterations,20,99,4.000,8.6165939
1,compute_iterations,20,79,3.000,7.721723
1,compute_iterations,20,40,2.000,5.8073049
1,compute_iterations,20,40,1.000,6.9306208
1,compute_iterations,15,158,5.000,9.929558
1,compute_iterations,15,132,4.000,8.954131
